Date,Open,High,Low,Close,Volume
2020-11-26,1967.9555641839281,1988.186883068062,1951.9084947898023,1981.013916015625,1630887
2020-11-27,1992.7847269266151,1993.244529586266,1955.0809088352487,1966.300048828125,5687861
2020-12-01,1985.4280461322244,1985.4280461322244,1958.3917373472175,1961.5643310546875,2226742
2020-12-02,1972.5537179547607,1977.059694917828,1951.494842659206,1967.31201171875,1634682
2020-12-03,1979.9103429913312,1983.0369114147177,1949.6554164080542,1956.6903076171875,3469163
2020-12-04,1968.874903467653,2018.9013408687276,1962.0699142043552,2008.601806640625,3712143
2020-12-07,2013.2463052106925,2077.940640794868,2011.1771928723465,2074.767822265625,4147649
2020-12-08,2077.8485468771605,2095.045124159371,2060.0540913352397,2078.308349609375,2768211
2020-12-09,2078.308425599682,2111.4142235295885,2062.9050335072952,2107.919677734375,2123890
2020-12-10,2105.8964680445265,2168.3375879249943,2092.14841155095,2161.486572265625,3041370
2020-12-11,2176.0161183444884,2193.2587183313703,2145.439241034418,2183.832763671875,2611218
2020-12-14,2189.533980978625,2199.1438105254942,2166.727726856239,2180.154052734375,1575632
2020-12-15,2171.188313177259,2173.9011041593926,2121.805548923737,2133.530517578125,2207176
2020-12-16,2130.8180042560653,2165.5789127152893,2117.851476837549,2155.50927734375,1748634
2020-12-17,2153.715771939572,2153.715771939572,2124.2884001624298,2129.162353515625,1912868
2020-12-18,2135.3235911444576,2155.462858206632,2126.127537780356,2145.85302734375,2229891
2020-12-21,2154.6356368772995,2161.0728752290456,2082.998459882376,2120.564208984375,2003069
2020-12-22,2124.288646478459,2145.715498940788,2097.620087713145,2125.208251953125,1764488
2020-12-23,2133.48464108492,2186.1780782005326,2118.0812498184664,2179.786865234375,1559556
2020-12-24,2190.959621544174,2216.2487672283146,2170.3145275155416,2209.121826171875,2489444
2020-12-28,2211.6509513503106,2223.05396832129,2185.0284203520478,2196.84521484375,1532477
2020-12-29,2202.4547221698585,2209.8115646656242,2164.93478053885,2192.614990234375,1749013
2020-12-30,2197.8570183680663,2220.5252028317896,2184.982542109843,2213.12255859375,1924886
2020-12-31,2203.3746069686385,2222.6863209696157,2195.098158111077,2202.82275390625,1709836
2021-01-01,2202.823016815267,2210.7317142505094,2190.5003924062867,2195.604248046875,830096
2021-01-04,2211.650848420114,2234.6409819795745,2207.696500545282,2231.42236328125,1614486
2021-01-05,2211.6509915413803,2259.42444726687,2211.6509915413803,2253.5390625,2356303
2021-01-06,2249.17066484687,2253.032962165122,2208.5241559014316,2222.9619140625,1641627
2021-01-07,2236.4804653497285,2237.1241442652704,2174.8668998980706,2178.407470703125,2403881
2021-01-08,2197.8569676104244,2207.053021868209,2171.0045340803035,2198.96044921875,2797948
2021-01-11,2230.0432484983808,2245.6305161986766,2208.984373194071,2233.813720703125,2787672
2021-01-12,2234.457496324699,2237.4922393875277,2181.3042533431517,2184.890625,2036708
2021-01-13,2190.4080285867485,2205.2137654410053,2174.4990346600116,2181.6259765625,1702740
2021-01-14,2175.786523861207,2212.5707423542117,2162.1302929404587,2205.7197265625,2120413
2021-01-15,2200.15614814061,2213.4904278263107,2154.4517999136137,2162.13037109375,2042957
2021-01-18,2183.602907634549,2183.602907634549,2134.0820696397745,2145.071533203125,1733797
2021-01-19,2153.7154779883426,2190.5917380187057,2136.4728796910404,2173.1650390625,1495269
2021-01-20,2167.509819977697,2183.0970858297046,2157.67008758978,2166.544189453125,1380562
2021-01-21,2184.982506098747,2206.960986114977,2161.0727648703937,2177.3037109375,1521133
2021-01-22,2169.3491453482516,2227.284285728472,2167.50993454253,2215.6513671875,2548089
2021-01-25,2225.445163897549,2236.802380882162,2193.2589735106008,2206.685302734375,2124424
2021-01-27,2230.04290046775,2230.04290046775,2147.2784216875034,2199.05224609375,2460297
2021-01-28,2177.533570538317,2217.6744815770653,2105.8963985754003,2115.460205078125,3867335
2021-01-29,2128.978256683129,2135.599369744124,2070.031468896468,2081.894287109375,4472694
2021-02-01,2093.619705013951,2101.2985004993343,2047.225653920854,2067.824951171875,2717591
2021-02-02,2088.470106137804,2092.1025029435996,2027.7301182376427,2051.134033203125,4215607
2021-02-03,2052.0992633302844,2075.5491988960125,2039.3168392388784,2053.3408203125,2353429
2021-02-04,2058.996189271164,2077.3882945795262,2047.225196971211,2065.065673828125,2908003
