Date,Open,High,Low,Close,Volume
2020-11-26,2416.870726199582,2455.8228130957623,2411.7881571724142,2447.63671875,60434.0
2020-11-27,2428.87997391605,2445.0274838916566,2401.892418650316,2410.12353515625,110671.0
2020-11-30,,,,,
2020-12-01,2410.8880587975186,2460.3652391086616,2361.5009248461392,2453.12353515625,90136.0
2020-12-02,2446.871662564724,2477.187638870708,2430.904025796149,2473.094482421875,103473.0
2020-12-03,2490.546103552349,2490.7709998030605,2430.9485971138492,2436.48095703125,392788.0
2020-12-04,2434.2778252246885,2463.109578055314,2428.880313417095,2452.26953125,67094.0
2020-12-07,2445.972430759006,2467.562477959527,2434.547741373794,2461.265380859375,44595.0
2020-12-08,2469.36102448967,2523.2012789393034,2458.5660036175836,2515.599609375,97986.0
2020-12-09,2535.0306060305634,2554.821476624131,2513.305715479089,2527.654052734375,108846.0
2020-12-10,2536.8302957993765,2541.013279181693,2500.9817372798943,2504.580078125,50596.0
2020-12-11,2514.3409378343727,2525.1359615388496,2487.353378573181,2503.95068359375,55137.0
2020-12-14,2518.928535885745,2524.4158736770232,2480.1563270005477,2515.68994140625,57915.0
2020-12-15,2509.842420893246,2514.3403463787176,2479.256527592038,2483.934326171875,108436.0
2020-12-16,2496.3486820181283,2536.6051157191414,2483.9343635662813,2530.7578125,71532.0
2020-12-17,2531.3875967037857,2562.918100233327,2523.8311692706548,2552.9326171875,74645.0
2020-12-18,2573.7129197686013,2606.997567804756,2561.118728619786,2575.15234375,155614.0
2020-12-21,2577.3113783605872,2598.496651940229,2503.4553518845078,2535.70556640625,181011.0
2020-12-22,2545.826416596868,2593.59448420717,2535.93097822847,2582.529541015625,90096.0
2020-12-23,2598.901519840919,2624.9894894066465,2578.256084402753,2615.27392578125,84950.0
2020-12-24,2622.1551803157977,2628.5421014444173,2594.4028978064403,2616.397705078125,63577.0
2020-12-28,2620.356924529651,2653.6863815942206,2610.866256429996,2634.21044921875,80008.0
2020-12-29,2634.2107119894445,2655.485816946812,2630.567347520179,2636.36962890625,47486.0
2020-12-30,2642.0812879102614,2651.077138396847,2612.3949813045283,2616.758056640625,175469.0
2020-12-31,2610.5961095541734,2614.2394733426668,2559.3197559206146,2581.9892578125,834286.0
2021-01-01,2589.905256143807,2644.6898956640302,2588.376005544562,2634.164794921875,152353.0
2021-01-04,2653.7762331180083,2743.73474949489,2646.5795518078576,2734.064208984375,208783.0
2021-01-05,2738.4273908687906,2800.1838269016707,2734.7390037044665,2781.787353515625,188379.0
2021-01-06,2790.6479729953994,2801.7129142169756,2732.7598006217,2746.388427734375,118089.0
2021-01-07,2766.224371251541,2770.5424239512345,2699.6550693092277,2728.171875,160557.0
2021-01-08,2775.400200563733,2813.497721434108,2754.349994844215,2807.020751953125,210057.0
2021-01-11,2892.1661648726777,2900.2624309640787,2831.3991460060524,2856.227783203125,253600.0
2021-01-12,2860.635946657885,2885.959402112652,2834.5479755492497,2854.2490234375,132445.0
2021-01-13,2860.635511460467,2860.635511460467,2813.092572086039,2841.609375,653157.0
2021-01-14,2851.7044066627336,2944.538020406811,2812.047328946817,2929.35107421875,531550.0
2021-01-15,2924.123514735024,2950.711780824741,2893.254087156285,2914.4345703125,162323.0
2021-01-18,2928.31423895142,2934.172670023499,2872.073388676757,2902.897705078125,167704.0
2021-01-19,2910.288556708385,2955.35341512753,2910.288556708385,2942.870361328125,94206.0
2021-01-20,2942.735632200025,2998.616063806886,2942.735632200025,2981.671630859375,1574806.0
2021-01-21,2981.4911382724717,2983.2937326728784,2940.0314670631205,2951.568115234375,85349.0
