Date,Open,High,Low,Close,Volume
2020-11-27,113.47533860340312,114.3709129708123,113.1346317708944,113.49480438232422,46691300
2020-11-30,113.86471334319992,117.75852242774822,113.7089574149293,115.88949584960938,169410200
2020-12-01,117.79746411967523,120.19215587053868,116.82401182614447,119.46206665039062,127728200
2020-12-02,118.78063560532624,120.09480203261869,117.68063727975765,119.8125,89004200
2020-12-03,120.24080509301905,120.49390472899617,118.96558516591388,119.67620849609375,78967600
2020-12-04,119.3452462973935,119.59834596601074,118.29391606792319,119.0045394897461,78260400
2020-12-07,119.0629479962768,121.26295226566269,119.00454323508524,120.4647216796875,86712000
2020-12-08,121.06824323820942,121.66204962752003,119.82221828193694,121.07797241210938,82225500
2020-12-09,121.22401378468822,122.6063142688594,117.78772835245422,118.5470199584961,115089200
2020-12-10,117.30101190387383,120.58154910132534,116.96030505591354,119.96826934814453,81312200
2020-12-11,119.17978224822454,119.50102333511974,117.34969433896117,119.16031646728516,86939800
2020-12-14,119.3452505477775,120.07533977310263,118.31339348591051,118.5470199584961,79184500
2020-12-15,121.03904746799414,124.50454247866038,120.83462338964168,124.48506927490234,157243700
2020-12-16,124.0275637947843,124.9620697049553,123.20012338037756,124.41693878173828,98208600
2020-12-17,125.47797450497976,126.13992968199645,124.6408050730974,125.28328704833984,94359800
2020-12-18,125.53642108894336,125.67270382324948,122.77181256405065,123.29747772216797,192541500
2020-12-21,121.70097950628217,124.90363783892778,120.17265999088353,124.82575988769531,121251600
2020-12-22,128.11605471749206,130.84172406271304,126.20808171972651,128.37889099121094,168904800
2020-12-23,128.65149275201784,128.91431424621467,127.30812347796113,127.48335266113281,88223700
2020-12-24,127.83375369258947,129.91694086606563,127.61959301416368,128.46649169921875,54930100
2020-12-28,130.43289960768968,133.69395641508856,129.96563173528466,133.06121826171875,124486200
2020-12-29,134.38507537843176,135.1054204796811,130.77356128298763,131.28948974609375,121047300
2020-12-30,131.9806813052001,132.37980036355688,129.8585472989338,130.17005920410156,96452100
2020-12-31,130.5204870277971,131.16296911492586,128.2231389904879,129.16738891601562,99116600
2021-01-04,129.97534605093776,130.06295318684514,123.39480688941487,125.97445678710938,143301900
2021-01-05,125.46826826756664,128.242613306386,125.0204736671036,127.531982421875,97664900
2021-01-06,124.32932099883892,127.570918733124,123.02489113823766,123.23905181884766,155088000
2021-01-07,124.95234603859188,128.13553942794485,124.46561985658641,127.44438171386719,109578200
2021-01-08,128.91428961570313,129.10899197173987,126.77269738263777,128.5443878173828,105158200
2021-01-11,125.76029392736588,126.71427293823224,125.08860952298478,125.55586242675781,100384500
2021-01-12,125.08862995743296,126.24704065814508,123.4921686595174,125.38066864013672,91951100
