Date,Open,High,Low,Close,Volume
2020-11-27,206.15714384421696,207.51968868227826,205.37990426234612,206.52175903320312,14512200
2020-11-30,205.43747642885162,206.07076156750256,202.30936731959918,205.40869140625,33064800
2020-12-01,205.83086786900017,208.52718688320113,204.71781287908087,207.46209716796875,30904500
2020-12-02,206.18591702157005,206.75204198993873,204.190072479513,206.6560821533203,23724500
2020-12-03,205.9268328948881,207.62522240610232,205.0056682633133,205.57180786132812,25120900
2020-12-04,205.55258520053735,206.6656547095932,204.55465576434483,205.68692016601562,24666000
2020-12-07,205.69650064321928,206.8191602252166,204.37234594316251,205.61973571777344,24620000
2020-12-08,205.31271750920934,208.17214180932788,204.27641284227593,207.27017211914062,23284100
2020-12-09,206.45456855380638,206.5217287203082,202.66438960856496,203.2305145263672,32440600
2020-12-10,203.2017287160043,204.45872339489904,201.8487742094355,202.00230407714844,26733300
2020-12-11,201.55136993722954,204.68906968128854,200.64940003931392,204.63148498535156,30979400
2020-12-14,204.47793178105667,207.46210106509508,204.2668318593756,205.53341674804688,28798400
2020-12-15,206.464208436639,206.70409342315386,203.6527634225653,205.46629333496094,27000600
2020-12-16,206.06113875255085,211.20427183512786,206.03235373451545,210.40785217285156,35023300
2020-12-17,210.97399576078638,211.95273038503314,209.10289621547224,210.54220581054688,32515800
2020-12-18,209.7457733154297,210.80127281082716,207.27976397278425,209.7457733154297,63354900
2020-12-21,208.74789477288223,214.93692380229916,208.4888149169169,213.58396911621094,37181900
2020-12-22,213.6798936375532,216.50094263879487,212.87388382045947,214.8793182373047,22612200
2020-12-23,214.08293413992092,214.51472413933894,211.86639945368123,212.07749938964844,18699600
2020-12-24,212.46131328554506,214.56270791406772,212.25021334578557,213.7375030517578,10550600
2020-12-28,215.36870333861185,216.8847779666073,213.99656846423386,215.8580780029297,17933500
2020-12-29,217.15345055362997,217.98824549729198,214.53391099007936,215.08084106445312,17403200
2020-12-30,216.11712326944684,216.50094793560592,212.5092592560349,212.71075439453125,20272300
2020-12-31,212.72993716646016,213.9773416379235,210.79166297669138,213.42080688476562,20942100
2021-01-04,213.52638643641092,213.9773713050936,206.1187381508586,208.88221740722656,37130100
2021-01-05,208.46960485056292,209.678634329478,206.97272515420607,209.08370971679688,23823000
2021-01-06,203.58554280387045,207.73076146630103,203.36485276551582,203.6623077392578,35930700
2021-01-07,205.3798725038288,210.46543588069164,205.06323728487098,209.45791625976562,27694500
2021-01-08,209.8321610847662,211.65529553000536,208.2489262362572,210.734130859375,22956200
2021-01-11,209.63066780968265,210.0528676774654,207.961063234746,208.69032287597656,23031300
2021-01-12,207.74035589548853,208.31608560211117,204.68902651806664,206.23387145996094,23249300
2021-01-13,205.36071303589776,207.9898427294301,205.27434332602658,207.5868377685547,20087100
2021-01-14,207.1742536782788,208.66154338232383,204.13251409385208,204.40118408203125,29480800
2021-01-15,204.8809522010558,205.83088727894048,203.45123255832522,204.046142578125,31746500
2021-01-19,205.10162077397675,208.2009300549652,204.0269409433611,207.6827850341797,30480900
2021-01-20,208.89179464606343,216.65446748663234,208.49837984592523,215.2631378173828,37777300
2021-01-21,215.6086111691637,217.1438808555298,213.42086138301298,215.86769104003906,30709400
2021-01-22,217.89226790023852,220.76129675652857,216.66405830590344,216.8079833984375,30172700
2021-01-25,219.84973400806652,220.48303373157987,215.14799527840105,220.24314880371094,33152100
2021-01-26,222.47890098214344,224.7050257283065,220.7709212912737,222.9298858642578,49169600
2021-01-27,228.37044973267308,230.7117289549116,220.82846706760978,223.47679138183594,69870600
2021-01-28,226.07721332535698,232.8227781553172,225.57824844045945,229.26287841796875,49111200
2021-01-29,226.4418038621358,228.38966849505235,221.98953975241002,222.57485961914062,42503100
2021-02-01,225.54940574495873,232.68838365200105,223.02581157927415,229.9536895751953,33314200
