Date,Open,High,Low,Close,Volume
2020-11-27,275.69043945617915,277.41976872916064,273.1361786277299,276.10784912109375,7808400
2020-11-30,274.33876719310007,275.998548474072,269.34953557543525,275.27301025390625,16693300
2020-12-01,277.4496054254641,287.5274624222444,277.2508186824023,284.7943115234375,20738900
2020-12-02,283.6115924383215,289.992270617401,279.10934883904036,285.75836181640625,17361600
2020-12-03,284.4961739879799,284.8937171606204,279.3479186253754,280.1231384277344,12921700
2020-12-04,278.582627741805,281.72327048958266,277.58875460632856,277.986328125,10880300
2020-12-07,277.47942801246444,286.7224355369099,276.4955033677059,283.83026123046875,13007700
2020-12-08,284.2576290622062,284.6750387409286,279.82493360322025,281.6636047363281,10747700
2020-12-09,281.9220459850057,285.86772338842565,270.08501377474596,276.21722412109375,25189700
2020-12-10,273.8517825845174,277.02223996978546,270.1943067907997,275.4220886230469,20065100
2020-12-11,272.84796891647494,274.7860335083833,268.59419344898964,271.87396240234375,14391400
2020-12-14,271.6950875702101,275.5215051146524,269.896179665291,272.51007080078125,16376900
2020-12-15,273.1461349971062,274.38847639152533,265.8312434254545,273.8617248535156,23979500
2020-12-16,273.07655946498386,276.15754154878624,270.84034517994166,273.9809875488281,15885000
2020-12-17,275.3724371090971,278.721784724986,271.9336142200269,272.7983093261719,16377800
2020-12-18,274.0803675596874,276.2967154406914,269.478760690303,274.7065124511719,26693200
2020-12-21,271.3074906598264,272.9871386308636,266.1492868272138,271.11865234375,16553700
2020-12-22,269.836567106623,269.836567106623,263.0086632448877,265.4535827636719,17312900
2020-12-23,265.25478916955404,270.50243758705955,264.59882932604114,266.46728515625,14329000
2020-12-24,267.23260080437507,268.743276979402,264.5690282073802,265.76165771484375,6702000
2020-12-28,267.0934547025589,275.6010062514606,264.03233881390213,275.3028564453125,23299700
2020-12-29,275.2531697721038,278.79135561501096,274.58726144336214,275.0841979980469,16383000
2020-12-30,276.24701912073874,276.3761971361416,270.0452308268975,270.2042541503906,11803800
2020-12-31,270.3334622960556,275.39227234420343,268.1568779489153,271.4863586425781,12900400
2021-01-04,273.0964516443011,273.3151049414783,263.575160606713,267.292236328125,15106100
2021-01-05,266.64621141751144,270.73101513017787,266.56668458767825,269.3097839355469,9871600
2021-01-06,260.3947450099917,266.10951517719576,258.4169473013946,261.69671630859375,24354100
2021-01-07,264.27081868979917,269.9458248995876,263.1576858077317,267.0934143066406,15789800
2021-01-08,266.6660593336376,267.30215260547834,261.567486045614,265.93060302734375,18528300
